SNo,Question,Gold standard answer,Dummy answer,
83,What is the significance of using the Fourier transform in Deep Learning tasks?,"The Fourier transform function efficiently analyzes, maintains, and manages large datasets. You can use it to generate real-time array data that is helpful for processing multiple signals.","Its a very good transform, and it makes things very easier.",
84,What do you understand by transfer learning?,Transfer learning is the process of transferring the learning from a model to another model without having to train it from scratch. It takes critical parts of a pre-trained model and applies them to solve new but similar machine learning problems.,Transfer Learning is the process of having a pre-trained model and then fine tuning it to a specific task by freezing most layers and training just some of the final layers.,
85,Give examples of few transfer learning models.,"VGG-16,BERT,GTP-3,Inception V3 and XCeption.","RoBERTa, BERT",
86,What are some of the uses of Autoencoders in Deep Learning?,Autoencoders are used to convert black and white images into colored images.Autoencoder helps to extract features and hidden patterns in the data.It is also used to reduce the dimensionality of data.It can also be used to remove noises from images.,Extract features from data and even reduce dimensions of the data.,
87,What are the reasons for mini-batch gradient being so useful?,Mini-batch gradient is highly efficient compared to stochastic gradient descent.It lets you attain generalization by finding the flat minima.Mini-batch gradient helps avoid local minima to allow gradient approximation for the whole dataset.,Mini-batch gradient descent provides a trade-off between stochastic gradient descent and batvh gradient descent. Batch Gradient Descent better results than Stochastic gradient descent but requires high memory. Thus mini batch gradient practically provides the best results.,
88,What do you understand by Leaky ReLU activation function?,"Leaky ReLU is an advanced version of the ReLU activation function. In general, the ReLU function defines the gradient to be 0 when all the values of inputs are less than zero. This deactivates the neurons. To overcome this problem, Leaky ReLU activation functions are used. It has a very small slope for negative values instead of a flat slope.",Leaky ReLU is ReLU with noise added to it thus the name leaky.,
89,What is Data Augmentation in Deep Learning?,"Data Augmentation is the process of creating new data by enhancing the size and quality of training datasets to ensure better models can be built using them. There are different techniques to augment data such as numerical data augmentation, image augmentation, GAN-based augmentation, and text augmentation.","Data Augmentation is the method of increasing the data by using various methods like cropping, flipping, etc.",
90,Explain the Adam optimization algorithm,Adaptive Moment Estimation or Adam optimization is an extension to the stochastic gradient descent. This algorithm is useful when working with complex problems involving vast amounts of data or parameters. It needs less memory and is efficient. ,Its just an extension and modified version of stochastic gradient descent.,
91,Why is a convolutional neural network preferred over a dense neural network for an image classification task?,"The number of parameters in a convolutional neural network is much more diminutive than that of a Dense Neural Network. Hence, a CNN is less likely to overfit.CNN allows you to look at the weights of a filter and visualize what the network learned. So, this gives a better understanding of the model.CNN trains models in a hierarchical way, i.e., it learns the patterns by explaining complex patterns using simpler ones.",Convolutional neural network is preferred over dense neural networks for image data because they take the spatial information into the consideration. Also less calculations are required.,
92,Explain two ways to deal with the vanishing gradient problem in a deep neural network.,Use the ReLU activation function instead of the sigmoid function.Initialize neural networks using Xavier initialization that works with tanh activation.,We can deal with vanishing gradient problems by making the neural networks shallower.,
93,Why is a deep neural network better than a shallow neural network?,Both deep and shallow neural networks can approximate the values of a function. But the deep neural network is more efficient as it learns something new in every layer. A shallow neural network has only one hidden layer. But a deep neural network has several hidden layers that create a deeper representation and computation capability.,Deep Neural networks consists of more layers than shallow neural networks. As a result the deep neural networks are capable of learning more complex mathematcal relations. Thus deep networks are better provided there is enough computational resources.,
94,What is the need to add randomness in the weight initialization process?,"If you set the weights to zero, then every neuron at each layer will produce the same result and the same gradient value during backpropagation. So, the neural network won’t be able to learn the function as there is no asymmetry between the neurons. Hence, randomness to the weight initialization process is crucial.",We need to add randomness to the weights to ensure not all of them are zero simultaneiusly,
95,How can you train hyperparameters in a neural network?,Hyperparameters in a neural network can be trained using four components:Batch size: Indicates the size of the input data.Epochs: Denotes the number of times the training data is visible to the neural network to train. Momentum: Used to get an idea of the next steps that occur with the data being executed.Learning rate: Represents the time required for the network to update the parameters and learn.,Hyperparameters in a neural can be trained using backpropagation.,
96,What do you mean by end-to-end learning?,"It's a deep learning procedure in which a model is fed raw data and the entire data is trained at the same time to create the desired result with no intermediate steps. It is a deep learning method in which all of the different steps are trained simultaneously rather than sequentially. End-to-end learning has the advantage of eliminating the requirement for implicit feature engineering, which usually results in lower bias. Driverless automobiles are an excellent example that you may use in your end-to-end learning content. They are guided by human input and are programmed to learn and interpret information automatically using a CNN to fulfill tasks. Another good example is the generation of a written transcript (output) from a recorded audio clip (input). The model here skips all of the steps in the middle, focusing instead on the fact that it can manage the entire sequence of steps and tasks.",End to end learning is learning a model which takes input at one end and gives output at the other.,
97,What do you understand about gradient clipping in the context of deep learning?,"Gradient Clipping is a technique for dealing with the problem of exploding gradients (a situation in which huge error gradients build up over time, resulting in massive modifications to neural network model weights during training) that happens during backpropagation. The problem of exploding gradients occurs when the gradients get excessively big during training, causing the model to become unstable. If the gradient has crossed the anticipated range, the gradient values are driven element-by-element to a specific minimum or maximum value. Gradient clipping improves numerical stability while training a neural network, but it has little effect on the performance of the model.",Gradient Clipping is the process of cipping the gradient by setting a maximum value in order to avoid exploding gradients,
98,"Is it possible to train a neural network model by setting all biases to 0? Also, is it possible to train a neural network model by setting all of the weights to 0?","Yes, even if all of the biases are set to zero, the neural network model has a chance of learning. 
No, training a model by setting all of the weights to 0 is impossible since the neural network will never learn to complete a task. When all weights are set to zero, the derivatives for each w remain constant, resulting in neurons learning the same features in each iteration. Any constant initialization of weights, not simply zero, is likely to generate a poor result.",Yes it is possible to train a model by setting all biases to zero. It is also possible to train them by setting all weights to 0.,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,, 
